stop_code,stop_name,stop_lat,stop_lon,zone_id
51045,Southbound Renfrew St @ E 8th Ave,49.262644,-123.044459,BUS ZN
50067,Eastbound Cornwall Ave @ Balsam St,49.272582,-123.159332,BUS ZN
59304,Westbound Dewdney Trunk Rd @ Fraser St,49.220544,-122.599936,BUS ZN
59710,Westbound Dewdney Trunk Rd @ 223 St,49.220551,-122.604122,BUS ZN
50408,Northbound Seymour St @ W Hastings St,49.28481,-123.112535,BUS ZN
59983,Westbound Fraser Hwy @ 222 St,49.091951,-122.608976,BUS ZN
59708,Eastbound Brown Ave @ 224 St,49.221507,-122.600945,BUS ZN
52226,Westbound Miller Rd @ Templeton St,49.192217,-123.149384,BUS ZN
58084,Braid Station @ Bay 4,49.233381,-122.882642,BUS ZN
53663,Westbound United Blvd @ Schooner St,49.228187,-122.840174,BUS ZN
59911,Eastbound Mary Hill Bypass @ Broadway St,49.241462,-122.76024,BUS ZN
59912,Westbound Mary Hill Bypass @ Kingsway Ave,49.246142,-122.750353,BUS ZN
51048,Southbound Renfrew St @ Grandview Hwy,49.257863,-123.044471,BUS ZN
60070,Southbound 80 St @ River Way,49.144143,-123.001707,BUS ZN
60069,Westbound River Way @ 82 St,49.145467,-122.997441,BUS ZN
60071,Eastbound River Way @ 80 St,49.144798,-123.000193,BUS ZN
60072,Northbound 82 St @ River Way,49.1461,-122.996558,BUS ZN
52425,Southbound 6th St @ Royal Ave,49.205995,-122.911456,BUS ZN
51049,Southbound Renfrew St @ E 15 Ave,49.255993,-123.044447,BUS ZN
59750,Eastbound Murray St @ Capilano Rd,49.28043,-122.830486,BUS ZN
59982,Southbound Buswell St @ Cook Rd,49.16621,-123.133812,BUS ZN
59951,Westbound Ioco Rd @ Walton Way,49.292293,-122.851541,BUS ZN
59895,Eastbound 64 Ave @ 16900 Block,49.118768,-122.750999,BUS ZN
59896,Westbound 64 Ave @ 16900 Block,49.11896,-122.751882,BUS ZN
59892,Westbound 64 Ave @ 174A St,49.11889,-122.739775,BUS ZN
59893,Eastbound 64 Ave @ 173A St,49.118718,-122.741828,BUS ZN
51050,Southbound Renfrew St @ E 17 Ave,49.254177,-123.044433,BUS ZN
